i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
4921-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4934-001-02,2020-21,Mainland Rural,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1.386294361
4935-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4936-001-01,2020-21,Mainland Rural,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1.609437912
4937-001-01,2020-21,Mainland Rural,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1.609437912
4938-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1.098612289
4938-001-02,2020-21,Mainland Rural,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1.609437912
4938-001-05,2020-21,Mainland Rural,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
4939-001-01,2020-21,Mainland Rural,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1.386294361
4940-001-01,2020-21,Mainland Rural,1,2,1,0,0,0,0,0,1,1,1,1,0,1,2.197224577
4971-001-01,2020-21,Mainland Rural,1,0,1,0,0,1,0,0,2,1,0,1,0,0,1.945910149
4971-001-02,2020-21,Mainland Rural,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
4972-001-01,2020-21,Mainland Rural,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1.791759469
4973-001-02,2020-21,Mainland Rural,1,0,0,0,1,0,2,0,1,0,0,0,1,2,2.079441542
4973-001-04,2020-21,Mainland Rural,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1.609437912
4974-001-01,2020-21,Mainland Rural,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1.609437912
4975-001-01,2020-21,Mainland Rural,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
4976-001-01,2020-21,Mainland Rural,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1.386294361
4976-001-03,2020-21,Mainland Rural,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1.609437912
4978-001-01,2020-21,Mainland Rural,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1.791759469
4978-001-03,2020-21,Mainland Rural,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1.791759469
4978-001-05,2020-21,Mainland Rural,0,1,2,0,0,1,0,0,0,1,1,0,0,0,1.791759469
4990-001-02,2020-21,Mainland Rural,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1.098612289
4991-001-01,2020-21,Mainland Rural,1,0,2,1,0,0,0,1,1,0,1,1,0,0,2.079441542
4992-001-01,2020-21,Mainland Rural,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1.945910149
4993-001-01,2020-21,Mainland Rural,3,0,1,2,0,0,0,0,1,0,0,1,0,0,2.079441542
4994-001-01,2020-21,Mainland Rural,0,1,2,0,1,0,0,0,0,1,1,0,0,0,1.791759469
4995-001-01,2020-21,Mainland Rural,0,1,1,0,0,2,2,0,0,1,1,1,0,0,2.197224577
4996-001-01,2020-21,Mainland Rural,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1.791759469
4997-001-01,2020-21,Mainland Rural,0,2,0,3,1,3,0,1,0,0,0,1,1,1,2.564949357
5009-001-01,2020-21,Mainland Rural,0,0,2,0,1,1,0,0,0,0,1,1,0,0,1.791759469
5009-001-03,2020-21,Mainland Rural,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1.386294361
5010-001-01,2020-21,Mainland Rural,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1.386294361
5011-001-01,2020-21,Mainland Rural,1,1,2,0,1,0,0,0,0,1,0,0,0,0,1.791759469
5012-001-01,2020-21,Mainland Rural,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
5013-001-01,2020-21,Mainland Rural,0,0,1,0,1,0,1,0,4,1,0,0,0,1,2.197224577
5014-001-01,2020-21,Mainland Rural,1,0,1,0,1,0,3,0,1,0,0,1,0,0,2.079441542
5015-001-01,2020-21,Mainland Rural,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1.386294361
5015-001-02,2020-21,Mainland Rural,2,0,0,2,0,0,0,0,1,1,0,0,0,0,1.791759469
5016-001-01,2020-21,Mainland Rural,0,0,1,0,0,2,0,0,0,0,1,1,0,0,1.609437912
5028-001-01,2020-21,Mainland Rural,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289
5028-001-02,2020-21,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5029-001-01,2020-21,Mainland Rural,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1.098612289
5030-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1.609437912
5030-001-04,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
5031-001-02,2020-21,Mainland Rural,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6931471806
5032-001-01,2020-21,Mainland Rural,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1.386294361
5032-001-03,2020-21,Mainland Rural,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
5034-001-01,2020-21,Mainland Rural,0,0,0,1,1,0,0,2,0,0,1,1,1,0,1.945910149
5035-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1.098612289
5047-001-01,2020-21,Mainland Other Urban,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6931471806
5048-001-01,2020-21,Mainland Other Urban,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1.609437912
5048-001-03,2020-21,Mainland Other Urban,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
5048-001-04,2020-21,Mainland Other Urban,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
5049-001-01,2020-21,Mainland Other Urban,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
5050-001-01,2020-21,Mainland Other Urban,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1.386294361
5051-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.386294361
5051-001-03,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
5051-001-05,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
5052-001-01,2020-21,Mainland Other Urban,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
5053-001-02,2020-21,Mainland Other Urban,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6931471806
5054-001-01,2020-21,Mainland Other Urban,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
5066-001-01,2020-21,Mainland Rural,0,0,1,1,1,0,0,1,2,0,0,1,1,0,2.079441542
5066-001-05,2020-21,Mainland Rural,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289
5067-001-01,2020-21,Mainland Rural,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
5068-001-01,2020-21,Mainland Rural,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
5069-001-01,2020-21,Mainland Rural,0,0,1,3,0,2,0,1,0,0,0,1,0,0,2.079441542
5070-001-01,2020-21,Mainland Rural,1,1,1,0,1,1,0,1,0,0,1,1,0,0,2.079441542
5070-001-03,2020-21,Mainland Rural,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
5071-001-01,2020-21,Mainland Rural,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1.791759469
5072-001-01,2020-21,Mainland Rural,1,0,0,1,0,1,1,1,1,1,0,1,1,0,2.197224577
5073-001-01,2020-21,Mainland Rural,0,1,1,1,0,2,1,1,0,0,1,1,0,0,2.197224577
5085-001-01,2020-21,Mainland Rural,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1.386294361
5086-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1.609437912
5087-001-01,2020-21,Mainland Rural,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6931471806
5088-001-01,2020-21,Mainland Rural,0,0,0,1,2,0,1,0,0,1,1,1,0,0,1.945910149
5089-001-01,2020-21,Mainland Rural,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1.791759469
5090-001-01,2020-21,Mainland Rural,0,1,1,1,2,0,1,0,2,1,0,1,0,0,2.302585093
5091-001-01,2020-21,Mainland Rural,0,2,0,0,2,0,1,0,1,1,0,1,0,0,2.079441542
5092-001-01,2020-21,Mainland Rural,1,1,1,1,1,1,0,0,0,1,1,0,0,0,2.079441542
5105-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.6931471806
5107-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1.098612289
5108-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
5109-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1.098612289
5110-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
5111-001-01,2020-21,Dar Es Salaam,1,0,0,2,0,0,0,0,1,1,0,1,0,0,1.791759469
5111-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
5127-001-01,2020-21,Dar Es Salaam,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1.609437912
5130-001-01,2020-21,Dar Es Salaam,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1.609437912
5131-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1.609437912
5132-001-01,2020-21,Dar Es Salaam,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1.386294361
5133-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.098612289
5143-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5144-001-01,2020-21,Dar Es Salaam,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
5146-001-02,2020-21,Dar Es Salaam,0,1,0,1,0,0,2,0,0,1,0,0,0,1,1.791759469
5147-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1.386294361
5152-001-01,2020-21,Dar Es Salaam,1,0,0,1,0,1,0,0,2,1,0,0,0,1,1.945910149
5152-001-03,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5153-001-01,2020-21,Dar Es Salaam,1,0,1,1,0,2,0,1,0,0,1,1,0,0,2.079441542
5162-001-02,2020-21,Dar Es Salaam,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1.609437912
5168-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1.098612289
5168-001-02,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1.386294361
5169-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
5170-001-01,2020-21,Dar Es Salaam,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1.609437912
5170-001-04,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5171-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1.098612289
5180-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1.386294361
5182-001-01,2020-21,Dar Es Salaam,0,0,0,1,1,1,0,2,0,0,1,1,0,0,1.945910149
5183-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.386294361
5184-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
5186-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1.386294361
5202-001-01,2020-21,Dar Es Salaam,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1.386294361
5203-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5204-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1.386294361
5205-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1.098612289
5207-001-01,2020-21,Dar Es Salaam,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
5218-001-01,2020-21,Dar Es Salaam,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
5219-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5220-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1.609437912
5220-001-06,2020-21,Dar Es Salaam,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1.386294361
5221-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1.609437912
5222-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
5223-001-01,2020-21,Dar Es Salaam,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.386294361
5224-001-01,2020-21,Dar Es Salaam,1,0,0,0,2,0,0,0,0,1,1,0,0,0,1.609437912
5224-001-02,2020-21,Dar Es Salaam,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1.098612289
5224-001-03,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
5228-001-01,2020-21,Dar Es Salaam,0,1,0,0,0,1,0,1,1,3,2,1,1,0,2.397895273
5228-001-02,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1.386294361
5228-001-09,2020-21,Dar Es Salaam,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1.609437912
5238-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6931471806
5240-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1.609437912
5241-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.6931471806
5241-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806
5242-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806
5244-001-01,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,2,1,0,1,0,0,1.609437912
5245-001-01,2020-21,Dar Es Salaam,0,1,0,2,0,0,0,0,0,0,1,1,0,0,1.609437912
5256-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1.386294361
5257-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1.386294361
5258-001-02,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1.386294361
5260-001-01,2020-21,Dar Es Salaam,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1.609437912
5261-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1.609437912
5263-001-01,2020-21,Dar Es Salaam,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1.609437912
5275-001-01,2020-21,Dar Es Salaam,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361
5277-001-01,2020-21,Dar Es Salaam,0,1,0,0,0,2,1,1,0,0,1,1,0,0,1.945910149
5277-001-06,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
5278-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1.386294361
5279-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.098612289
5280-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5281-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1.609437912
5283-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1.386294361
5294-001-01,2020-21,Dar Es Salaam,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1.609437912
5295-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
5296-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289
5296-001-04,2020-21,Dar Es Salaam,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1.609437912
5298-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1.098612289
5300-001-01,2020-21,Dar Es Salaam,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1.609437912
5303-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
5313-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,2,0,0,1,1,0,0,1.609437912
5314-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.386294361
5316-001-01,2020-21,Dar Es Salaam,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
5318-001-01,2020-21,Dar Es Salaam,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1.609437912
5319-001-01,2020-21,Dar Es Salaam,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1.609437912
5320-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1.609437912
5323-001-02,2020-21,Dar Es Salaam,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
5333-001-02,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1.098612289
5334-001-02,2020-21,Dar Es Salaam,0,0,0,0,1,1,1,0,1,1,0,2,1,1,2.197224577
5334-001-04,2020-21,Dar Es Salaam,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1.609437912
5334-001-12,2020-21,Dar Es Salaam,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.098612289
5335-001-02,2020-21,Dar Es Salaam,0,0,0,0,1,0,1,2,0,1,0,1,0,0,1.791759469
5336-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1.945910149
5337-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.609437912
5339-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1.098612289
5340-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1.791759469
5340-001-05,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5351-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5351-001-02,2020-21,Dar Es Salaam,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1.098612289
5352-001-01,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
5353-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1.386294361
5354-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1.386294361
5357-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,2,2,0,1,0,0,2,2.079441542
5358-001-01,2020-21,Dar Es Salaam,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361
5361-001-01,2020-21,Dar Es Salaam,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361
5370-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1.098612289
5372-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1.609437912
5373-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289
5374-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1.098612289
5375-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1.098612289
5375-001-03,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.6931471806
5376-001-01,2020-21,Dar Es Salaam,0,0,1,2,1,1,0,1,1,0,0,0,0,1,2.079441542
5392-001-01,2020-21,Dar Es Salaam,1,0,2,0,0,0,0,1,0,0,1,1,0,0,1.791759469
5393-001-01,2020-21,Dar Es Salaam,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1.609437912
5395-001-01,2020-21,Dar Es Salaam,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1.609437912
5396-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,2,0,0,0,0,1,1,0,0,1.609437912
5397-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1.098612289
5400-001-01,2020-21,Dar Es Salaam,1,1,2,0,0,0,0,1,0,2,1,0,0,0,2.079441542
5409-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1.609437912
5410-001-01,2020-21,Dar Es Salaam,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1.609437912
5411-001-01,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1.386294361
5412-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.098612289
5413-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,1,1,2,1,0,0,2,0,0,1.945910149
5414-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1.386294361
5414-001-05,2020-21,Dar Es Salaam,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
5415-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1.609437912
5427-001-01,2020-21,Dar Es Salaam,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.386294361
5429-001-01,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1.098612289
5429-001-02,2020-21,Dar Es Salaam,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1.098612289
5430-001-01,2020-21,Dar Es Salaam,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1.609437912
5431-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
5433-001-01,2020-21,Dar Es Salaam,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1.609437912
5434-001-01,2020-21,Dar Es Salaam,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1.609437912
5446-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
5447-001-01,2020-21,Dar Es Salaam,0,2,1,0,0,0,1,0,0,0,1,1,0,1,1.945910149
5447-001-03,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
5449-001-01,2020-21,Dar Es Salaam,0,0,1,2,0,0,0,1,0,1,1,1,0,0,1.945910149
5450-001-01,2020-21,Dar Es Salaam,0,0,0,0,1,0,1,0,1,2,0,0,1,1,1.945910149
5451-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5456-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1.386294361
5458-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1.386294361
5458-001-03,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5458-001-04,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5458-001-05,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
5468-001-01,2020-21,Dar Es Salaam,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
5469-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,0,1,0,3,0,1,1,0,0,1.945910149
5471-001-01,2020-21,Dar Es Salaam,0,0,1,0,0,1,0,0,0,2,0,1,0,1,1.791759469
5471-001-02,2020-21,Dar Es Salaam,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
5473-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289
5474-001-01,2020-21,Dar Es Salaam,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
5474-001-02,2020-21,Dar Es Salaam,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
5475-001-01,2020-21,Dar Es Salaam,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
5476-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6931471806
5484-001-01,2020-21,Dar Es Salaam,1,0,0,2,0,0,0,1,0,1,1,0,0,0,1.791759469
5485-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5486-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,1,2,0,1,1,1,0,1,1.945910149
5487-001-01,2020-21,Dar Es Salaam,0,0,1,0,1,0,0,1,1,1,1,1,1,0,2.079441542
5487-001-08,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.098612289
5489-001-01,2020-21,Dar Es Salaam,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
5490-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
5490-001-03,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5505-001-01,2020-21,Dar Es Salaam,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1.098612289
5505-001-02,2020-21,Dar Es Salaam,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1.098612289
5507-001-01,2020-21,Dar Es Salaam,0,1,0,2,0,0,0,0,2,1,1,0,0,0,1.945910149
5507-001-05,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5509-001-01,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1.609437912
5509-001-05,2020-21,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5513-001-03,2020-21,Dar Es Salaam,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1.609437912
5514-001-01,2020-21,Dar Es Salaam,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1.386294361
5522-001-01,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.098612289
5524-001-01,2020-21,Dar Es Salaam,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1.386294361
5524-001-03,2020-21,Dar Es Salaam,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
5525-001-01,2020-21,Dar Es Salaam,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1.386294361
5526-001-01,2020-21,Dar Es Salaam,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1.609437912
